movie_title_imdb,Released_Year,Genre,IMDB_Rating,Meta_score,platform_imdb,movie_title_rt,tomatometer_rating,audience_rating,platform_rt,Gross_imdb
,,,,,,8 Mile,75.0,54.0,Rotten Tomatoes,
,,,,,,8 Seconds,31.0,94.0,Rotten Tomatoes,
,,,,,,808,100.0,60.0,Rotten Tomatoes,
,,,,,,84 Charing Cross Road,87.0,81.0,Rotten Tomatoes,
,,,,,,88 Minutes,5.0,44.0,Rotten Tomatoes,
,,,,,,8: The Mormon Proposition,64.0,72.0,Rotten Tomatoes,
,,,,,,8MM,21.0,52.0,Rotten Tomatoes,
8½,1963,Drama,80.0,91.0,IMDb,,,,,50690.0
,,,,,,9,57.0,56.0,Rotten Tomatoes,
,,,,,,9 1/2 Weeks,61.0,56.0,Rotten Tomatoes,
,,,,,,9 Dead Gay Guys,22.0,61.0,Rotten Tomatoes,
,,,,,,9 Full Moons,83.0,71.0,Rotten Tomatoes,
,,,,,,9 to 5,82.0,74.0,Rotten Tomatoes,
,,,,,,9/11,11.0,43.0,Rotten Tomatoes,
,,,,,,90 Minutes In Heaven,26.0,50.0,Rotten Tomatoes,
,,,,,,95 Miles to Go,36.0,60.0,Rotten Tomatoes,
,,,,,,9500 Liberty,92.0,82.0,Rotten Tomatoes,
,,,,,,96 Souls,0.0,95.0,Rotten Tomatoes,
,,,,,,976-EVIL,15.0,28.0,Rotten Tomatoes,
,,,,,,99 Homes,93.0,78.0,Rotten Tomatoes,
,,,,,,A Bad Moms Christmas,32.0,44.0,Rotten Tomatoes,
,,,,,,A Bag of Hammers,62.0,66.0,Rotten Tomatoes,
,,,,,,A Band Called Death,94.0,85.0,Rotten Tomatoes,
,,,,,,A Beautiful Life,0.0,24.0,Rotten Tomatoes,
A Beautiful Mind,2001,"Biography, Drama",82.0,72.0,IMDb,A Beautiful Mind,74.0,93.0,Rotten Tomatoes,170742341.0
,,,,,,A Beginner's Guide To Endings,33.0,48.0,Rotten Tomatoes,
,,,,,,A Better Life,85.0,79.0,Rotten Tomatoes,
,,,,,,A Better Tomorrow,93.0,90.0,Rotten Tomatoes,
,,,,,,A Bigger Splash,90.0,58.0,Rotten Tomatoes,
,,,,,,A Bigger Splash,100.0,42.0,Rotten Tomatoes,
,,,,,,A Bird of the Air,30.0,58.0,Rotten Tomatoes,
,,,,,,A Birder's Guide To Everything,86.0,68.0,Rotten Tomatoes,
,,,,,,A Bittersweet Life (Dalkomhan insaeng),100.0,90.0,Rotten Tomatoes,
,,,,,,A Bottle in the Gaza Sea,69.0,73.0,Rotten Tomatoes,
,,,,,,A Boy and His Dog,76.0,63.0,Rotten Tomatoes,
,,,,,,A Boy Called Po,31.0,80.0,Rotten Tomatoes,
,,,,,,A Boy Called Sailboat,80.0,77.0,Rotten Tomatoes,
,,,,,,A Boy Named Charlie Brown,95.0,86.0,Rotten Tomatoes,
,,,,,,"A Bread Factory, Part One: For the Sake of Gold",100.0,62.0,Rotten Tomatoes,
,,,,,,"A Bread Factory, Part Two: Walk with Me a While",100.0,56.0,Rotten Tomatoes,
,,,,,,A Breath Away (Dans la brume),45.0,44.0,Rotten Tomatoes,
,,,,,,A Bridge Too Far,64.0,86.0,Rotten Tomatoes,
,,,,,,A Brief History of Time,94.0,81.0,Rotten Tomatoes,
,,,,,,A Brighter Summer Day,100.0,94.0,Rotten Tomatoes,
,,,,,,A Brilliant Young Mind,87.0,77.0,Rotten Tomatoes,
A Bronx Tale,1993,"Crime, Drama, Romance",78.0,80.0,IMDb,A Bronx Tale,97.0,93.0,Rotten Tomatoes,17266971.0
,,,,,,A Brony Tale,80.0,71.0,Rotten Tomatoes,
,,,,,,A Brother's Kiss,100.0,66.0,Rotten Tomatoes,
,,,,,,A Bucket of Blood,71.0,68.0,Rotten Tomatoes,
,,,,,,A Bug's Life,92.0,73.0,Rotten Tomatoes,
,,,,,,A Burning Hot Summer,55.0,22.0,Rotten Tomatoes,
,,,,,,A Canterbury Tale,92.0,81.0,Rotten Tomatoes,
,,,,,,A Case of You,47.0,26.0,Rotten Tomatoes,
,,,,,,A Cat in Paris,83.0,72.0,Rotten Tomatoes,
,,,,,,A Charlie Brown Christmas,67.0,63.0,Rotten Tomatoes,
,,,,,,A Charlie Brown Thanksgiving,100.0,75.0,Rotten Tomatoes,
,,,,,,A Chorus Line,40.0,62.0,Rotten Tomatoes,
,,,,,,A Christmas Carol,100.0,74.0,Rotten Tomatoes,
,,,,,,A Christmas Prince,73.0,47.0,Rotten Tomatoes,
,,,,,,A Christmas Prince: The Royal Baby,33.0,31.0,Rotten Tomatoes,
,,,,,,A Christmas Prince: The Royal Wedding,50.0,32.0,Rotten Tomatoes,
A Christmas Story,1983,"Comedy, Family",79.0,77.0,IMDb,A Christmas Story,89.0,88.0,Rotten Tomatoes,20605209.0
,,,,,,A Ciambra,89.0,76.0,Rotten Tomatoes,
,,,,,,A Cinderella Story,12.0,53.0,Rotten Tomatoes,
,,,,,,A Civil Action,61.0,55.0,Rotten Tomatoes,
,,,,,,A Clear Shot,0.0,63.0,Rotten Tomatoes,
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",83.0,77.0,IMDb,A Clockwork Orange,88.0,93.0,Rotten Tomatoes,6207725.0
,,,,,,A Coffee in Berlin,77.0,74.0,Rotten Tomatoes,
,,,,,,A Complete History of My Sexual Failures,56.0,56.0,Rotten Tomatoes,
,,,,,,A Conspiracy of Faith (Flaskepost fra P),100.0,65.0,Rotten Tomatoes,
,,,,,,A Cool Dry Place,54.0,59.0,Rotten Tomatoes,
,,,,,,A Cop (Un Flic),81.0,69.0,Rotten Tomatoes,
,,,,,,A Country Called Home,17.0,48.0,Rotten Tomatoes,
,,,,,,A Crooked Somebody,80.0,64.0,Rotten Tomatoes,
,,,,,,A Crude Awakening: The Oil Crash,79.0,84.0,Rotten Tomatoes,
,,,,,,A Cure For Wellness,42.0,41.0,Rotten Tomatoes,
,,,,,,A Dangerous Method,78.0,50.0,Rotten Tomatoes,
,,,,,,A Dangerous Woman,50.0,31.0,Rotten Tomatoes,
,,,,,,A Dark Song,92.0,60.0,Rotten Tomatoes,
,,,,,,A Date with Judy,57.0,51.0,Rotten Tomatoes,
,,,,,,A Day at the Races,94.0,89.0,Rotten Tomatoes,
,,,,,,A Dirty Shame,53.0,51.0,Rotten Tomatoes,
,,,,,,A Distant Trumpet,50.0,44.0,Rotten Tomatoes,
,,,,,,A Dog of Flanders,21.0,63.0,Rotten Tomatoes,
,,,,,,A Dog's Journey,50.0,91.0,Rotten Tomatoes,
,,,,,,A Dog's Purpose,35.0,73.0,Rotten Tomatoes,
,,,,,,A Dog's Way Home,59.0,71.0,Rotten Tomatoes,
,,,,,,A Face in the Crowd,88.0,94.0,Rotten Tomatoes,
,,,,,,A Family Thing,73.0,71.0,Rotten Tomatoes,
,,,,,,A Fantastic Fear of Everything,34.0,35.0,Rotten Tomatoes,
,,,,,,A Fantastic Woman (Una mujer fantástica),94.0,78.0,Rotten Tomatoes,
,,,,,,A Farewell To Arms,0.0,37.0,Rotten Tomatoes,
,,,,,,A Farewell to Arms,93.0,53.0,Rotten Tomatoes,
,,,,,,A Farewell to Fools,40.0,23.0,Rotten Tomatoes,
,,,,,,A Few Best Men,15.0,36.0,Rotten Tomatoes,
A Few Good Men,1992,"Drama, Thriller",77.0,62.0,IMDb,A Few Good Men,83.0,89.0,Rotten Tomatoes,141340178.0
,,,,,,A Field in England,86.0,58.0,Rotten Tomatoes,
,,,,,,A Fierce Green Fire,70.0,62.0,Rotten Tomatoes,
,,,,,,A Film Unfinished,97.0,86.0,Rotten Tomatoes,
,,,,,,A Film with Me in It,62.0,60.0,Rotten Tomatoes,
,,,,,,A Fine Madness,40.0,33.0,Rotten Tomatoes,
,,,,,,A Fine Mess,33.0,34.0,Rotten Tomatoes,
,,,,,,A Fish Called Wanda,95.0,84.0,Rotten Tomatoes,
,,,,,,A Fistful of Dollars (Per un Pugno di Dollari),98.0,91.0,Rotten Tomatoes,
,,,,,,A Five Star Life,64.0,48.0,Rotten Tomatoes,
,,,,,,A Fond Kiss,89.0,76.0,Rotten Tomatoes,
,,,,,,A Fool There Was,83.0,53.0,Rotten Tomatoes,
,,,,,,A Fortunate Man (Lykke-Per),83.0,75.0,Rotten Tomatoes,
,,,,,,A Four Letter Word,53.0,40.0,Rotten Tomatoes,
,,,,,,A Funny Thing Happened on the Way to the Forum,85.0,78.0,Rotten Tomatoes,
,,,,,,A Futile and Stupid Gesture,67.0,71.0,Rotten Tomatoes,
,,,,,,"A Galaxy Far, Far Away",57.0,24.0,Rotten Tomatoes,
,,,,,,A Ghost Story,91.0,66.0,Rotten Tomatoes,
,,,,,,A Girl And A Gun,25.0,44.0,Rotten Tomatoes,
,,,,,,A Girl Walks Home Alone at Night,96.0,75.0,Rotten Tomatoes,
,,,,,,A Glimpse Inside the Mind of Charles Swan III,16.0,26.0,Rotten Tomatoes,
,,,,,,A Good Day to Be Black & Sexy,80.0,51.0,Rotten Tomatoes,
,,,,,,A Good Day To Die Hard,14.0,40.0,Rotten Tomatoes,
,,,,,,A Good Man in Africa,10.0,27.0,Rotten Tomatoes,
,,,,,,A Good Old Fashioned Orgy,35.0,41.0,Rotten Tomatoes,
,,,,,,A Good Woman,37.0,49.0,Rotten Tomatoes,
,,,,,,A Good Woman Is Hard to Find,92.0,70.0,Rotten Tomatoes,
,,,,,,A Good Year,25.0,65.0,Rotten Tomatoes,
,,,,,,A Goofy Movie,58.0,70.0,Rotten Tomatoes,
,,,,,,A Gray State,100.0,59.0,Rotten Tomatoes,
,,,,,,A Great Day in Harlem,89.0,71.0,Rotten Tomatoes,
,,,,,,A Great Wall,56.0,60.0,Rotten Tomatoes,
,,,,,,A Guide to Recognizing Your Saints,76.0,73.0,Rotten Tomatoes,
,,,,,,A Guy Thing,24.0,35.0,Rotten Tomatoes,
,,,,,,A Hard Day,83.0,77.0,Rotten Tomatoes,
A Hard Day's Night,1964,"Comedy, Music, Musical",76.0,96.0,IMDb,A Hard Day's Night,98.0,89.0,Rotten Tomatoes,13780024.0
,,,,,,A Haunted House,9.0,51.0,Rotten Tomatoes,
,,,,,,A Haunted House 2,8.0,43.0,Rotten Tomatoes,
,,,,,,A Hijacking,96.0,76.0,Rotten Tomatoes,
,,,,,,A History of Violence,87.0,76.0,Rotten Tomatoes,
,,,,,,A Hole in the Head,75.0,49.0,Rotten Tomatoes,
,,,,,,A Hologram for the King,71.0,55.0,Rotten Tomatoes,
,,,,,,A Home at the End of the World,50.0,67.0,Rotten Tomatoes,
,,,,,,A Home of Our Own,50.0,73.0,Rotten Tomatoes,
,,,,,,A Horrible Way to Die,60.0,35.0,Rotten Tomatoes,
,,,,,,A Jihad for Love,78.0,70.0,Rotten Tomatoes,
,,,,,,A Kid in King Arthur's Court,5.0,27.0,Rotten Tomatoes,
,,,,,,A Kid Like Jake,49.0,44.0,Rotten Tomatoes,
,,,,,,A Kind of Murder,35.0,14.0,Rotten Tomatoes,
,,,,,,A Kiss Before Dying,100.0,47.0,Rotten Tomatoes,
,,,,,,A Knight's Tale,59.0,79.0,Rotten Tomatoes,
,,,,,,A La Mala,43.0,75.0,Rotten Tomatoes,
,,,,,,A Late Quartet,76.0,71.0,Rotten Tomatoes,
,,,,,,A League of Ordinary Gentlemen,91.0,77.0,Rotten Tomatoes,
,,,,,,A League of Their Own,78.0,84.0,Rotten Tomatoes,
,,,,,,A Letter to Momo,81.0,76.0,Rotten Tomatoes,
,,,,,,A Letter to Three Wives,94.0,86.0,Rotten Tomatoes,
,,,,,,A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,44.0,46.0,Rotten Tomatoes,
,,,,,,A Life Less Ordinary,41.0,59.0,Rotten Tomatoes,
,,,,,,A Little Bit Of Heaven,4.0,52.0,Rotten Tomatoes,
